genres,1,18,25,35,45,50,56
Action,6578,50186,105678,50503,19357,17012,8143
Adventure,3998,26324,52633,26682,10738,9090,4488
Animation,2449,10269,16454,8117,2889,2032,1083
Children's,4337,16924,25743,14004,5400,3890,1888
Comedy,11162,69980,143210,69244,27890,23133,11961
Crime,1701,15373,33030,14895,6048,5520,2974
Documentary,130,1081,3489,1708,687,555,260
Drama,7483,58104,138695,71590,32141,29247,17269
Fantasy,1360,7875,14290,7006,2695,2127,948
Film-Noir,330,2280,6539,4175,1860,1870,1207
Horror,2211,15184,31235,15122,6192,4681,1761
Musical,1647,7555,14705,8746,3898,3093,1889
Mystery,920,6401,15160,8179,3851,3520,2147
Romance,3599,25656,58003,29330,13283,11373,6279
Sci-Fi,4178,29033,63156,32333,13040,10674,4880
Thriller,4824,35877,77429,36840,14933,13240,6537
War,1578,10874,24830,14514,6642,6314,3775
Western,335,2863,7053,4546,2133,2420,1333
